"","Line","UWC","Region","State","Segment","FirstQuoteYear","FirstEffYear","mnln_cd","coast_ind","earlyshop_mth_bkt","SPRNKL_IND_bkt","SUM_BLD_SQFTAGE_bkt","LOC_BLD_AGE_bkt","bld_ind"
"24479","CMP","CHARLOTTE","SOUTHERN","TN","OFFICE","2017","2017","MPAC","N","c.2","b.N","b.<1800","b.<15","0"
"24480","CMP","DENVER","WESTERN","CO","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","e.70+","0"
"24481","CMP","DENVER","WESTERN","WA","APARTMENTS","2017","2017","MULTI","N","b.1","b.N","e.11300+","b.<15","1"
"24482","CMP","DIAMOND BAR","CALIFORNIA","CA","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","d.<70","0"
"24483","CMP","DIAMOND BAR","CALIFORNIA","CA","STORE","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"24484","CMP","NAPERVILLE","CENTRAL","IL","CONDOMINIUMS","2016","2016","MULTI","N","c.2","b.N","d.<11300","b.<25","1"
"24485","CMP","DENVER","WESTERN","MD","OFFICE","2017","2017","MPAC","N","c.2","b.N","b.<1800","c.<40","0"
"24486","CMP","HARTFORD","NORTHEAST","CT","BUILDING","2017","2017","MULTI","Y","c.2","a.Y","d.<11300","b.<15","1"
"24487","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2016","2016","MULTI","N","b.1","a.Y","b.<1800","c.<40","0"
"24488","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2017","2017","MULTI","N","b.1","b.N","c.<4250","c.<40","1"
"24490","CMP","CHARLOTTE","SOUTHERN","SC","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24491","CMP","CHARLOTTE","SOUTHERN","SC","CONDOMINIUMS","2017","2018","MPAC","N","f.others","b.N","e.11300+","b.<15","1"
"24492","CMP","DALLAS","SOUTH CENTRAL","TX","GARAGE","2016","2016","MULTI","N","a.0","b.N","b.<1800","c.<40","0"
"24495","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2016","2016","MPAC","N","b.1","b.N","c.<4250","b.<25","1"
"24496","CMP","ATLANTA","SOUTHERN","GA","RESTAURANTS","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"24497","CMP","HUNT VALLEY","MID-ATLANTIC","PA","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"24498","CMP","BRAINTREE","NORTHEAST","ME","RESTAURANTS","2017","2017","MPAC","Y","a.0","b.N","b.<1800","e.70+","0"
"24500","CMP","KANSAS CITY","SOUTH CENTRAL","KS","CONTRACTORS","2017","2017","MULTI","N","d.3","b.N","b.<1800","b.<25","0"
"24504","CMP","KANSAS CITY","SOUTH CENTRAL","MO","STORE","2017","2017","MULTI","N","b.1","b.N","d.<11300","d.<70","1"
"24506","CMP","DENVER","WESTERN","NM","BUILDING","2017","2017","MULTI","N","a.0","b.N","e.11300+","d.<70","1"
"24507","CMP","CHARLOTTE","SOUTHERN","SC","GARAGE","2017","2017","MULTI","N","a.0","b.N","b.<1800","b.<15","0"
"24508","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUILDING","2017","2017","MULTI","N","b.1","b.N","e.11300+","c.<40","1"
"24509","CMP","DENVER","WESTERN","UT","RESTAURANTS","2017","2017","MULTI","N","b.1","a.Y","b.<1800","c.<40","0"
"24510","CMP","ATLANTA","SOUTHERN","GA","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24511","CMP","CHARLOTTE","SOUTHERN","SC","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<15","1"
"24512","CMP","CHARLOTTE","SOUTHERN","TN","CONTRACTORS","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"24513","CMP","ATLANTA","SOUTHERN","GA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24515","CMP","NAPERVILLE","CENTRAL","OH","BUSINESS","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<25","0"
"24516","CMP","ATLANTA","SOUTHERN","MS","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","e.70+","1"
"24518","CMP","HUNT VALLEY","MID-ATLANTIC","VA","BUSINESS","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<25","0"
"24521","CMP","KANSAS CITY","SOUTH CENTRAL","MO","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","c.<40","1"
"24522","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MULTI","Y","b.1","a.Y","b.<1800","c.<40","0"
"24523","CMP","CHARLOTTE","SOUTHERN","SC","OFFICE","2017","2017","MULTI","Y","a.0","b.N","b.<1800","b.<15","0"
"24524","CMP","HUNT VALLEY","MID-ATLANTIC","MD","OFFICE","2017","2017","MPAC","N","c.2","b.N","c.<4250","d.<70","1"
"24525","CMP","ATLANTA","SOUTHERN","GA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"24527","CMP","CHARLOTTE","SOUTHERN","NC","OFFICE","2017","2017","MULTI","N","f.others","b.N","c.<4250","c.<40","1"
"24528","CMP","ATLANTA","SOUTHERN","GA","STORE","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<15","0"
"24530","CMP","ATLANTA","SOUTHERN","GA","STORE","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<25","1"
"24531","CMP","CHARLOTTE","SOUTHERN","SC","STORE","2017","2017","MPAC","N","e.4","b.N","b.<1800","d.<70","0"
"24535","CMP","NAPERVILLE","CENTRAL","IL","BUILDING","2017","2017","MPAC","N","b.1","b.N","c.<4250","e.70+","1"
"24536","CMP","HUNT VALLEY","MID-ATLANTIC","WV","CONTRACTORS","2017","2017","MULTI","N","a.0","b.N","b.<1800","c.<40","1"
"24537","CMP","CHARLOTTE","SOUTHERN","NC","BUILDING","2017","2017","MULTI","N","c.2","b.N","e.11300+","b.<25","1"
"24539","CMP","HUNT VALLEY","MID-ATLANTIC","DC","RESTAURANTS","2017","2017","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"24540","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MPAC","N","b.1","b.N","d.<11300","e.70+","1"
"24541","CMP","DENVER","WESTERN","OR","OFFICE","2017","2017","MULTI","N","a.0","b.N","b.<1800","d.<70","0"
"24542","CMP","HUNT VALLEY","MID-ATLANTIC","DC","RESTAURANTS","2016","2016","MULTI","N","a.0","b.N","b.<1800","b.<25","0"
"24543","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<15","1"
"24544","CMP","HUNT VALLEY","MID-ATLANTIC","PA","INSTITUTIONAL","2017","2017","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
"24545","CMP","DENVER","WESTERN","CO","OFFICE","2017","2017","MPAC","N","a.0","b.N","b.<1800","c.<40","0"
"24546","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","b.N","e.11300+","b.<15","1"
"24548","CMP","DALLAS","SOUTH CENTRAL","TX","BUILDING","2017","2017","MPAC","N","b.1","b.N","d.<11300","c.<40","1"
"24549","CMP","DENVER","WESTERN","AZ","OFFICE","2017","2017","MULTI","N","b.1","b.N","b.<1800","b.<15","0"
"24550","CMP","NAPERVILLE","CENTRAL","IL","APARTMENTS","2017","2017","MPAC","N","d.3","b.N","c.<4250","d.<70","1"
"24551","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2016","2016","MULTI","N","b.1","b.N","b.<1800","c.<40","0"
"24552","CMP","ATLANTA","SOUTHERN","GA","BUSINESS","2017","2017","MPAC","N","a.0","b.N","b.<1800","b.<25","0"
"24554","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MULTI","N","d.3","b.N","c.<4250","e.70+","1"
"24556","CMP","DENVER","WESTERN","NV","BUSINESS","2017","2017","MULTI","N","c.2","b.N","b.<1800","c.<40","0"
"24557","CMP","DALLAS","SOUTH CENTRAL","TX","STORE","2017","2017","MPAC","N","a.0","a.Y","b.<1800","c.<40","0"
"24558","CMP","CHARLOTTE","SOUTHERN","NC","BUILDING","2016","2016","MPAC","N","b.1","b.N","c.<4250","d.<70","1"
"24559","CMP","DALLAS","SOUTH CENTRAL","TX","OFFICE","2017","2017","MPAC","N","c.2","b.N","d.<11300","b.<15","1"
"24560","CMP","DENVER","WESTERN","CO","STORE","2017","2017","MPAC","N","b.1","b.N","b.<1800","b.<15","0"
"24561","CMP","HARTFORD","NORTHEAST","NY","OFFICE","2017","2017","MPAC","N","b.1","b.N","b.<1800","c.<40","0"
"24562","CMP","DENVER","WESTERN","UT","BUILDING","2017","2017","MPAC","N","a.0","b.N","d.<11300","b.<25","1"
"24563","CMP","HUNT VALLEY","MID-ATLANTIC","WV","BUSINESS","2017","2017","MULTI","N","d.3","b.N","c.<4250","c.<40","1"
"24564","CMP","DIAMOND BAR","CALIFORNIA","CA","APARTMENTS","2017","2017","MPAC","N","a.0","b.N","d.<11300","d.<70","1"
"24565","CMP","DENVER","WESTERN","NM","BUILDING","2016","2016","MPAC","N","a.0","b.N","c.<4250","d.<70","1"
