"","X","TRV.Price","nbr_comp","count","rrv_rt_fct","tot_bld_annl_rev_amt","fnl_prc_pt_fct","tot_ref_rule_cnt","agt_subm_pol_cnt","terr_pctl_bldgcrime","terr_pctl_bldgfire","terr_pctl_weather","terr_pctl_water","terr_pctl_cntscrime","terr_pctl_cntsfire","terr_pctl_liab","afi_pol_cnt","pri_clm_cnt","prcnt_blg_tiv","prcnt_pol_cmp"
"10818",10818,2302,1,1,1,700100,0.4913,3,1,77,87,68,18,67,82,16,0,0,0,1
"10819",10819,542,1,1,1,150000,0.8504,0,1,61,85,20,73,70,70,81,1,0,0,1
"10820",10820,10854,1,1,0.83,1700000,1,1,1,13,7,80,69,54,24,70,0,0,0.804347826086957,1
"10821",10821,667,1,1,1,180000,1.1357,0,1,46,76,27,96,36,71,91,1,0,0,1
"10822",10822,6892,1,2,1.03,136400,1,0,1,9,9,27,76,24,6,76,1,0,1,1
"10823",10823,4101,1,1,1,60000,1.13,0,1,1,4,82,28,1,61,50,1,0,1,1
"10825",10825,3548,1,5,1,136800,0.9443,1,0,98,55,38,43,89,34,94,0,0,1,1.6
"10826",10826,8537,1,1,1,280000,0.4864,0,1,85,41,8,60,88,19,93,1,0,0,1
"10827",10827,3486,1,2,1,7e+05,0.4188,0,1,1,5,76,22,1,52,37,1,0,0.564500192071849,1
"10828",10828,10883,1,1,1.33,77000,1,4,1,19,4,9,42,51,71,66,0,0,1,1
"10829",10829,500,1,1,1,250000,0.842,0,1,36,44,41,76,63,31,44,1,0,0.8,1
"10830",10830,1397,1,1,1,350000,0.8171,0,1,89,36,5,53,88,21,57,1,0,0,1
"10831",10831,9277,1,1,1,425001,0.8462,0,1,85,64,35,100,49,23,34,1,0,1,1
"10832",10832,12160,1,2,1,10000,0.885,0,1,89,62,86,16,42,10,6,1,0,1,1.5
