"","pol_entry_dt","pol_eff_dt"
"633",2017-09-29,2017-11-06
"634",2017-09-29,2017-11-01
"635",2017-09-29,2017-10-01
"636",2017-09-29,2017-10-01
"639",2017-09-29,2017-10-04
"640",2017-09-29,2017-09-29
"641",2017-09-29,2017-11-01
"642",2017-09-29,2017-12-03
"643",2017-09-29,2017-10-31
"644",2017-09-29,2017-10-19
"645",2017-09-29,2017-10-06
"646",2017-09-29,2017-09-29
"648",2017-09-29,2017-11-22
"649",2017-09-29,2017-10-06
"652",2017-09-29,2017-10-25
"653",2017-09-29,2017-09-29
"654",2017-09-29,2017-10-20
"656",2017-09-29,2017-10-05
"657",2017-09-29,2018-01-18
"658",2017-09-29,2017-10-31
"659",2017-09-29,2017-11-02
"663",2017-09-29,2017-10-02
"666",2017-09-29,2017-10-01
"667",2017-09-29,2017-09-29
"668",2017-09-29,2017-09-29
"669",2017-09-29,2017-09-29
"670",2017-09-29,2017-12-01
"671",2017-09-29,2017-10-04
"675",2017-09-29,2017-10-21
"676",2017-09-29,2017-10-01
"677",2017-09-29,2017-10-04
"678",2017-09-29,2017-10-07
"679",2017-09-29,2017-10-05
"680",2017-09-29,2017-11-12
"683",2017-09-29,2017-10-03
"684",2017-09-29,2017-10-05
"686",2017-09-29,2017-10-02
"688",2017-09-29,2017-10-11
"689",2017-09-29,2017-10-15
"691",2017-09-29,2017-09-29
"692",2017-09-29,2017-11-15
"693",2017-09-29,2017-11-27
"694",2017-09-29,2017-10-13
"695",2017-09-29,2017-10-03
"696",2017-09-29,2017-12-06
"697",2017-09-29,2017-10-01
"698",2017-09-29,2017-10-18
"699",2017-09-29,2017-10-03
"700",2017-09-29,2017-10-17
"701",2017-09-29,2017-10-16
"702",2017-09-29,2017-10-01
"703",2017-09-29,2017-10-24
"704",2017-09-29,2017-10-11
"705",2017-09-29,2017-09-29
"706",2017-09-29,2017-10-20
"707",2017-09-29,2017-10-06
"708",2017-09-29,2017-11-01
"709",2017-09-29,2017-09-29
"710",2017-09-30,2017-10-01
"711",2017-10-01,2017-10-05
"712",2017-10-02,2017-10-16
"713",2017-10-02,2017-10-31
"719",2017-10-02,2017-10-05
"720",2017-10-02,2017-10-02
"721",2017-10-02,2017-10-17
"723",2017-10-02,2017-10-02
"724",2017-10-02,2017-11-15
"725",2017-10-02,2017-11-01
"727",2017-10-02,2017-10-04
"729",2017-10-02,2017-11-02
"731",2017-10-02,2017-12-21
"732",2017-10-02,2017-11-09
"733",2017-10-02,2017-11-01
"734",2017-10-02,2017-10-02
"735",2017-10-02,2017-10-20
"740",2017-10-02,2017-10-15
"744",2017-10-02,2017-10-20
"747",2017-10-02,2017-10-01
"748",2017-10-02,2017-10-24
"749",2017-10-02,2017-10-02
"751",2017-10-02,2017-10-02
"752",2017-10-02,2017-10-13
"754",2017-10-02,2017-10-01
"755",2017-10-02,2017-10-02
"756",2017-10-02,2017-10-02
"757",2017-10-02,2017-10-02
"760",2017-10-02,2017-10-02
"762",2017-10-02,2017-10-02
"763",2017-10-02,2017-10-02
"765",2017-10-02,2017-10-25
"766",2017-10-02,2017-10-12
"767",2017-10-02,2017-10-05
"768",2017-10-02,2017-10-02
"769",2017-10-02,2017-10-01
"770",2017-10-02,2017-10-05
"772",2017-10-02,2017-10-04
"773",2017-10-02,2017-10-02
"774",2017-10-02,2017-10-03
"775",2017-10-02,2017-10-02
"776",2017-10-02,2017-12-26
"777",2017-10-02,2017-10-11
"778",2017-10-02,2017-12-21
"779",2017-10-02,2017-11-01
"780",2017-10-02,2017-10-05
"781",2017-10-02,2017-10-06
"782",2017-10-02,2017-10-03
"787",2017-10-02,2017-10-06
"789",2017-10-02,2017-10-02
"790",2017-10-02,2017-10-15
"792",2017-10-02,2017-10-06
"794",2017-10-02,2017-11-23
"796",2017-10-02,2017-10-10
"797",2017-10-02,2017-10-02
"798",2017-10-02,2017-11-21
"801",2017-10-02,2017-10-31
"803",2017-10-02,2017-10-04
"804",2017-10-02,2017-10-18
"805",2017-10-02,2017-10-22
"806",2017-10-02,2017-10-21
"807",2017-10-02,2017-10-15
"809",2017-10-02,2017-12-12
"810",2017-10-02,2017-10-02
"811",2017-10-02,2017-10-02
"812",2017-10-02,2017-10-10
"813",2017-10-02,2017-10-10
"814",2017-10-02,2017-11-04
"816",2017-10-02,2017-10-10
"817",2017-10-02,2017-10-04
"818",2017-10-02,2017-10-02
"819",2017-10-02,2017-10-31
"820",2017-10-02,2017-10-06
"821",2017-10-02,2017-11-23
"822",2017-10-02,2017-10-31
"823",2017-10-02,2017-11-07
"824",2017-10-02,2017-10-20
"827",2017-10-02,2017-12-19
"828",2017-10-02,2017-10-12
"830",2017-10-02,2017-10-02
"832",2017-10-02,2018-01-01
"833",2017-10-02,2017-10-11
"834",2017-10-02,2017-11-01
"835",2017-10-02,2017-12-06
"836",2017-10-02,2017-11-01
"837",2017-10-02,2017-10-12
"838",2017-10-02,2017-10-04
"839",2017-10-02,2017-11-14
"841",2017-10-02,2017-10-02
"842",2017-10-02,2017-10-01
"843",2017-10-02,2017-10-02
"845",2017-10-02,2017-10-06
"849",2017-10-02,2017-10-02
"850",2017-10-02,2017-10-05
"851",2017-10-02,2017-10-02
"852",2017-10-02,2017-10-10
"855",2017-10-02,2017-10-01
"856",2017-10-02,2017-10-16
"857",2017-10-02,2017-10-13
"858",2017-10-02,2017-10-18
"859",2017-10-02,2017-10-14
"861",2017-10-02,2017-10-05
"862",2017-10-02,2017-10-09
"863",2017-10-02,2017-12-01
"864",2017-10-02,2017-10-15
"865",2017-10-02,2017-11-20
"867",2017-10-02,2017-11-08
"868",2017-10-02,2017-10-04
"869",2017-10-02,2017-10-03
"870",2017-10-02,2017-10-02
"872",2017-10-02,2017-10-02
"873",2017-10-02,2017-10-11
"875",2017-10-02,2017-10-04
"876",2017-10-02,2017-10-01
"877",2017-10-02,2017-10-04
"878",2017-10-02,2017-10-04
"879",2017-10-03,2017-10-15
